id,time,qpos,qvel,qacc,ctrl
113,0.22800000000000017,[0.11213231 0.01546115],[1.01116391 0.31845473],[4.95445786 3.66827091],[9.04412189 9.04412189]
114,0.23000000000000018,[0.11417443 0.01611287],[1.0210597  0.32585794],[4.94918259 3.70741471],[9.08633496 9.08633496]
115,0.23200000000000018,[0.11595354 0.01708747],[0.88955253 0.48729953],[-65.97144386  81.11577164],[9.1276394 9.1276394]
116,0.23400000000000018,[0.11775327 0.01807562],[0.8998649  0.49407789],[5.15825256 3.39352917],[9.16803109 9.16803109]
117,0.23600000000000018,[0.1195736  0.01907749],[0.91016611 0.50093065],[5.15260198 3.4308757 ],[9.20750598 9.20750598]
118,0.23800000000000018,[0.12141451 0.0200932 ],[0.92045634 0.50785562],[5.14705294 3.46711845],[9.24606012 9.24606012]
119,0.24000000000000019,[0.12327598 0.0211229 ],[0.93073579 0.5148506 ],[5.14160355 3.50225729],[9.28368967 9.28368967]
120,0.2420000000000002,[0.12515799 0.02216673],[0.94100467 0.52191338],[5.13625194 3.53629215],[9.32039086 9.32039086]
121,0.2440000000000002,[0.12706052 0.02322481],[0.95126315 0.52904177],[5.13099622 3.56922306],[9.35616002 9.35616002]
122,0.2460000000000002,[0.12898354 0.02429728],[0.96151141 0.53623357],[5.12583449 3.60105015],[9.39099356 9.39099356]
123,0.2480000000000002,[0.13092704 0.02538425],[0.97174965 0.54348658],[5.12076486 3.63177361],[9.42488802 9.42488802]
124,0.25000000000000017,[0.132891   0.02648585],[0.98197803 0.55079859],[5.11578542 3.66139374],[9.45783999 9.45783999]
125,0.25200000000000017,[0.13487539 0.02760218],[0.99219673 0.55816742],[5.11089428 3.68991092],[9.48984619 9.48984619]
126,0.25400000000000017,[0.1368802  0.02873336],[1.00240592 0.56559087],[5.10608953 3.71732562],[9.52090342 9.52090342]
127,0.25600000000000017,[0.13890542 0.0298795 ],[1.01260577 0.57306674],[5.10136925 3.74363839],[9.55100856 9.55100856]
128,0.2580000000000002,[0.14095101 0.03104068],[1.02279643 0.58059283],[5.09673153 3.76884989],[9.5801586 9.5801586]
129,0.2600000000000002,[0.14301696 0.03221702],[1.03297806 0.58816696],[5.09217445 3.79296084],[9.60835064 9.60835064]
130,0.2620000000000002,[0.14510327 0.03340859],[1.04315082 0.59578693],[5.08769608 3.81597208],[9.63558185 9.63558185]
